Anr;EAN;Lief;Artikel;Land;IK;V1;V2;MWSt;VK1;eVK;Staffel1;EK-Staffel1;Staffel2;EK-Staffel2;Grundpreis-Einheit;Grundpreis-Faktor
986865;4020713004870;NPG;Verkostungsmesser;D;;1;100 St;2;4,2;;;;;;;1
986885;4020713004795;NPG;Rührstäbchen;D;;1;1000 St;2;3;;;;;;1St;0,001
986931;4260284211929;EBR;ECHT BIO. Mehrwegbecher Porzel;D;##;1;St;2;7,6;;;;;;;1
987001;4260284212018;PBE;Backpapier Zuschnitte 24St;D;;15;24 Bögen;2;2,25;3,59;;;;;;1
987002;4260284212025;PBE;Recycling Komposttüten;D;;15;10 St;2;0,75;1,19;;;;;;1
987003;4260284212032;PBE;Brotbeutel Recyclingtüte;D;;16;50 St;2;2,25;3,99;;;;;;1
987004;4260284212001;PBE;Müllbeutel mit Zugband 18 St;D;;15;18 St;2;0,99;3,99;;;;;;1
987512;4260284211875;EBR;VB ECHT BIO. Zahlteller Holz;D;;1;St;2;20;;;;;;;1
987521;;EBR;ECHT BIO Einkaufskorb 20l;D;;1;St;2;9;;;;;;;1
987531;4260284210465;EBR;ECHT BIO. Kassentrennstab;D;;1;St;2;10;;;;;;;1
987532;4260284211868;EBR;ECHT BIO. Kassentrennstab Holz;D;;1;St;2;7;;;;;;;1
987546;4260284210489;EBR;ECHT BIO. Rabattkarte;D;;1;200 St;2;9;;;;;;;1
987551;4260284210021;NPG;EchtBioPapiertragetasche klein;D;;1;250 St;2;40;;;;;;;1
987566;4260284210441;EBR;VB ECHT BIO. Holzstempel;D;;1;St;2;7,5;;;;;;;1
987567;4260284211882;EBR;Stempelkissen;D;;1;St;2;2;;;;;;;1
987571;4260284210472;EBR;ECHT BIO. Ballons;D;;1;50 St;2;5,8;;;;;;;1
987572;4260284210564;EBR;ECHT BIO. Kugelschreiber;D;##;1;10 St;2;7,2;;;;;;;1
987575;4260284210625;EBR;ECHT BIO. Eisfahne;D;;1;St;2;43;;;;;;;1
987576;4260284211578;EBR;VB ECHT BIO-Beachflag Möhre;D;##;1;St;2;198;;;;;;;1
987586;92399531463;EBR;ECHT BIO. Stempelautomat;D;;1;St;2;20;;;;;;;1
987590;4260284211899;EBR;Briefumschläge, grün o.Fenster;D;;1;25 St;2;5,4;;;;;;;1
987592;4260284210595;EBR;ECHT BIO. Geschenkgutschein;D;##;1;25 St;2;7,2;;;;;;;1
